"","Pays","Région","Année","Visiteurs","Durée"
"1","Belgique","Europe",2018,920,1.72717391304348
"2","Bulgarie","Europe",2018,138,2.10144927536232
"3","Danemark","Europe",2018,301,1.82724252491694
"4","Allemagne","Europe",2018,10564,1.70948504354411
"5","Estonie","Europe",2018,24,2.125
"6","Finlande","Europe",2018,130,2.00769230769231
"7","France","Europe",2018,3401,1.55483681270215
"8","Grèce","Europe",2018,195,2.65128205128205
"9","Irlande","Europe",2018,374,2.33155080213904
"10","Islande","Europe",2018,32,1.78125
"11","Italie","Europe",2018,1776,1.81531531531532
"12","Croatie","Europe",2018,55,1.76363636363636
"13","Lettonie","Europe",2018,13,2.15384615384615
"14","Liechtenstein","Europe",2018,89,1.61797752808989
"15","Lituanie","Europe",2018,31,1.70967741935484
"16","Luxembourg","Europe",2018,181,1.49723756906077
"17","Malte","Europe",2018,11,1.72727272727273
"18","Pays-Bas","Europe",2018,1223,1.69174161896975
"19","Norvège","Europe",2018,106,2.58490566037736
"20","Autriche","Europe",2018,892,1.88677130044843
"21","Pologne","Europe",2018,400,2.235
"22","Portugal","Europe",2018,283,1.81625441696113
"23","Roumanie","Europe",2018,302,2.01986754966887
"24","Russie","Europe",2018,279,2.29749103942652
"25","Suède","Europe",2018,405,1.75308641975309
"26","Serbie","Europe",2018,81,2.5679012345679
"27","Slovaquie","Europe",2018,87,3.03448275862069
"28","Slovénie","Europe",2018,92,2.28260869565217
"29","Espagne","Europe",2018,1251,1.83373301358913
"30","République Tchèque","Europe",2018,175,2.28
"31","Turquie","Europe",2018,275,2.11636363636364
"32","Ukraine","Europe",2018,98,2.60204081632653
"33","Hongrie","Europe",2018,361,2.36842105263158
"34","Royaume-Uni","Europe",2018,3979,2.00578034682081
"35","Biélorussie","Europe",2018,24,3.41666666666667
"36","Chypre","Europe",2018,22,2.59090909090909
"37","Reste de l'Europe","Europe",2018,196,2.04591836734694
"38","États-Unis","Amerique",2018,6439,2.38437645597142
"39","Canada","Amerique",2018,777,2.58172458172458
"40","Mexique","Amerique",2018,101,2.56435643564356
"41","Reste de l'Amérique Centrale, Caraïbes","Amerique",2018,91,2.93406593406593
"42","Argentine","Amerique",2018,96,2.47916666666667
"43","Brésil","Amerique",2018,305,3.21967213114754
"44","Chili","Amerique",2018,36,2.72222222222222
"45","Reste de l'Amérique du Sud","Amerique",2018,108,2.55555555555556
"46","Égypte","Afrique",2018,53,2.58490566037736
"47","Reste de l'Afrique du Nord","Afrique",2018,69,2.17391304347826
"48","Afrique du Sud","Afrique",2018,74,3.14864864864865
"49","Reste de l'Afrique","Afrique",2018,155,3.32903225806452
"50","Bahreïn","Asie",2018,7,2
"51","Chine","Asie",2018,694,2.05763688760807
"52","République populaire Hong Kong","Asie",2018,69,1.95652173913043
"53","Inde","Asie",2018,455,3.56483516483517
"54","Indonésie","Asie",2018,193,1.84455958549223
"55","Israël","Asie",2018,355,2.72112676056338
"56","Japon","Asie",2018,529,2.49716446124764
"57","Qatar","Asie",2018,15,9.53333333333333
"58","Corée","Asie",2018,403,1.63771712158809
"59","République de Koweït","Asie",2018,7,1.57142857142857
"60","Malaisie","Asie",2018,102,2.3921568627451
"61","Oman","Asie",2018,4,2.25
"62","Philippines","Asie",2018,42,2.69047619047619
"63","Arabie Saoudite","Asie",2018,90,2.67777777777778
"64","Singapour","Asie",2018,121,3.6198347107438
"65","Taiwan","Asie",2018,121,1.93388429752066
"66","Thaïlande","Asie",2018,116,2.39655172413793
"67","Reste de l'Asie du Sud et de l'Est","Asie",2018,191,3.06282722513089
"68","Reste de l'Asie occidentale","Asie",2018,81,2.67901234567901
"69","E.A.U","Asie",2018,64,4.109375
"70","Australie","Australie, Nouvelle-Zélande et Océanie",2018,444,2.21621621621622
"71","Nouvelle-Zélande et Océanie","Australie, Nouvelle-Zélande et Océanie",2018,64,2.75
